ime,idos
-0.5,-3.484614554234554e-5
-0.49,-3.6235683200964905e-5
-0.48,-3.769248287070359e-5
-0.47,-3.948488049370757e-5
-0.46,-4.3867237814559615e-5
-0.45,-6.924582199820666e-5
-0.44,-0.000265138014056347
-0.43,-0.0018401724022511089
-0.42,-0.014222916673196164
-0.41,-0.08483219928591199
-0.4,0.33509193117586994
-0.39,3.861630926767473
-0.38,0.2946971504813194
-0.37,1.494710431788548
-0.36,0.6966102361368618
-0.35,1.2188328315519552
-0.34,0.6534557427529256
-0.33,1.1819993464176923
-0.32,0.9348632223603952
-0.31,1.0449954952899974
-0.3,3.0132971218680025
-0.29,0.014845153382757749
-0.28,-0.04905119086732702
-0.27,-0.005518433446849681
-0.26,-0.0005793564330852085
-0.25,6.32150855923167e-5
-0.24,0.00016832662113597005
-0.23,0.0001233388517034691
-0.22,-0.0004912886754667111
-0.21,-0.004960328197744261
-0.2,-0.012321436259018114
-0.19,2.2951418800915513
-0.18,2.5592043541665728
-0.17,1.8229327387441157
-0.16,1.5877179678108033
-0.15,2.3849781116851814
-0.14,5.2033242441437295
-0.13,4.458860648213572
-0.12,7.359380817783491
-0.11,1.9450787949100623
-0.1,1.504206991756488
-0.09,1.5740817173531259
-0.08,-0.03646015198059353
-0.07,-0.010801164857656862
-0.06,-0.0012416733726912923
-0.05,7.489040840137563e-6
-0.04,3.945948077274924e-5
-0.03,-0.0007104659551810659
-0.02,-0.006738311598318025
-0.01,-0.05868631795104517
0.0,-0.11983964750815414
0.01,2.3754490469723835
0.02,0.6577151169034112
0.03,0.8651706037499322
0.04,1.1816754448063653
0.05,0.8302621495294681
0.06,-0.1355863480546339
0.07,-0.01358711300636274
0.08,-0.0017102547312944285
0.09,-0.00046884683215493695
0.1,-0.0018198155813742669
0.11,-0.014466060746366515
0.12,-0.1410845599709188
0.13,0.6841471534741866
0.14,1.6037037195401347
0.15,0.6429636157960281
0.16,0.6745810143852485
0.17,0.8389416715856349
0.18,0.7472363758744275
0.19,0.30627785283498415
0.2,4.028120078819305
0.21,-0.17863255289171456
0.22,-0.15361901913068046
0.23,-0.01827453038520958
0.24,-0.002268367769110632
0.25,-0.0003092669489149305
0.26,-6.680265910832224e-5
0.27,-3.563943713767061e-5
0.28,-3.166110034438881e-5
0.29,-4.094356726810388e-5
0.3,-0.00013305305618511185
0.31,-0.0008960137106242558
0.32,-0.007122861780342459
0.33,-0.05832989817779543
0.34,-0.0010140117985914165
0.35,1.9797457150151963
0.36,0.772197171076351
0.37,0.5521971501441417
0.38,0.4879215711062037
0.39,0.4452211330402562
0.4,0.4214708046766289
0.41,0.4705133485485955
0.42,0.5590653005725041
0.43,0.12375327873229106
0.44,0.27702889475315934
0.45,0.31289549625931795
0.46,0.2798277014414125
0.47,0.2596183844711833
0.48,0.24836850186943074
0.49,0.3456583806286107
0.5,0.3508526019996394
0.51,0.22586878496033275
0.52,0.23454489152586833
0.53,0.25886583047509565
0.54,0.273315185330104
0.55,0.1618093004220573
0.56,0.03789562939841378
0.57,0.003972172387193037
0.58,0.0006357800810003046
0.59,0.15702023733291412
0.6,0.3064571566254992
0.61,0.23554329252266648
0.62,0.20890061437462162
0.63,0.19954805982872378
0.64,0.1940408755323628
0.65,0.18882342732664134
0.66,0.33215350371961816
0.67,1.0154043328629212
0.68,0.7373192866967329
0.69,0.562561523431143
0.7,0.5005426297255937
0.71,0.46822817442964876
0.72,0.44773260207953636
0.73,0.4331591091313078
0.74,0.42033333688873165
0.75,0.7539908298991495
0.76,0.9247902477164149
0.77,0.7462199751190457
0.78,0.42012614999417536
0.79,0.19576953565152086
0.8,0.14963515675891007
0.81,0.13936746116130874
0.82,0.13472954782255286
0.83,0.1579585189757486
0.84,0.2422589274996124
0.85,0.1275936092945786
0.86,0.1252673192748297
0.87,0.12174543308743058
0.88,0.11870971025547365
0.89,0.11581183852136684
0.9,0.23554105277933984
0.91,0.1902323056815485
0.92,0.10566013509648907
0.93,0.10731870693637481
0.94,0.10553706865365804
0.95,0.25952255327812984
0.96,0.15024195191948203
0.97,0.0966990429747269
0.98,0.09450652068528323
0.99,0.20644739643116267
1.0,0.17874450496134053
1.01,0.15532620614303183
1.02,0.4093617147593542
1.03,0.9102035985397436
1.04,0.15861644053557664
1.05,0.296119396141809
1.06,0.048381637749723504
1.07,9.054616723896519e-5
1.08,7.033000614674765e-6
1.09,3.652021480820146e-5
1.1,0.08006973635606593
1.11,0.1916630690141649
1.12,0.40967865639844603
1.13,0.16063172427836506
1.14,0.9744300839641031
1.15,0.43357115601317875
1.16,0.09456367680152121
1.17,0.09243426669845965
1.18,0.34048755742191383
1.19,0.16993367253994895
1.2,0.11103740586260756
1.21,0.34532014696567737
1.22,0.22825850398096711
1.23,0.12167770687964123
1.24,0.3595779344330509
1.25,0.2730512419639804
1.26,0.13153244919944415
1.27,0.4517574357233768
1.28,0.3349929602058638
1.29,0.20003652654408485
1.3,0.029727327700928494
1.31,0.27050779614665377
1.32,0.36976572393203394
1.33,0.3047253404899636
1.34,0.5345071031615952
1.35,0.17121858841192492
1.36,0.43545743586992175
1.37,0.5071894288338304
1.38,0.19819405556330438
1.39,0.6034795332115961
1.4,0.5294114973803402
1.41,0.23710545064406585
1.42,0.9557221966765488
1.43,0.5669101523885791
1.44,0.2723786583795543
1.45,2.4650061958566987
1.46,0.6762469492148228
1.47,-0.029492751152247285
1.48,-0.01095271089622335
1.49,-0.0014178508908101906
1.5,-0.00013356044543396344
1.51,2.175590103766023e-5
1.52,3.6142656045878654e-5
1.53,3.303787090578848e-5
1.54,2.7765475337182138e-5
1.55,2.2302239479878556e-5
1.56,1.6969696150738793e-5
1.57,1.187261335578145e-5
1.58,7.0754158581543275e-6
1.59,2.6241061547169394e-6
1.6,-1.4505006995790815e-6
